seed,L_min,beta,lambda_alarm,best_obj,changepoints,objective_gap
7,52,2.0,0.5,90593.03914909108,"[1144, 2236]",1.793746110954089
7,52,2.0,1.0,90593.03914909108,"[1144, 2236]",1.793746110954089
7,52,2.0,2.0,90593.03914909108,"[1144, 2236]",1.793746110954089
7,52,4.0,0.0,90597.03914909108,"[1144, 2236]",1.793746110954089
7,52,4.0,0.5,90597.03914909108,"[1144, 2236]",1.793746110954089
7,52,4.0,1.0,90597.03914909108,"[1144, 2236]",1.793746110954089
7,52,4.0,2.0,90597.03914909108,"[1144, 2236]",1.793746110954089
7,104,0.5,0.0,90590.03914909108,"[1144, 2236]",1.793746110954089
7,104,0.5,0.5,90590.03914909108,"[1144, 2236]",1.793746110954089
7,104,0.5,1.0,90590.03914909108,"[1144, 2236]",1.793746110954089
7,104,0.5,2.0,90590.03914909108,"[1144, 2236]",1.793746110954089
7,104,1.0,0.0,90591.03914909108,"[1144, 2236]",1.793746110954089
7,104,1.0,0.5,90591.03914909108,"[1144, 2236]",1.793746110954089
7,104,1.0,1.0,90591.03914909108,"[1144, 2236]",1.793746110954089
7,104,1.0,2.0,90591.03914909108,"[1144, 2236]",1.793746110954089
7,104,2.0,0.0,90593.03914909108,"[1144, 2236]",1.793746110954089
7,104,2.0,0.5,90593.03914909108,"[1144, 2236]",1.793746110954089
7,104,2.0,1.0,90593.03914909108,"[1144, 2236]",1.793746110954089
7,104,2.0,2.0,90593.03914909108,"[1144, 2236]",1.793746110954089
7,104,4.0,0.0,90597.03914909108,"[1144, 2236]",1.793746110954089
7,104,4.0,0.5,90597.03914909108,"[1144, 2236]",1.793746110954089
7,104,4.0,1.0,90597.03914909108,"[1144, 2236]",1.793746110954089
7,104,4.0,2.0,90597.03914909108,"[1144, 2236]",1.793746110954089
7,156,0.5,0.0,90590.03914909108,"[1144, 2236]",1.793746110954089
7,156,0.5,0.5,90590.03914909108,"[1144, 2236]",1.793746110954089
7,156,0.5,1.0,90590.03914909108,"[1144, 2236]",1.793746110954089
7,156,0.5,2.0,90590.03914909108,"[1144, 2236]",1.793746110954089
7,156,1.0,0.0,90591.03914909108,"[1144, 2236]",1.793746110954089
7,156,1.0,0.5,90591.03914909108,"[1144, 2236]",1.793746110954089
7,156,1.0,1.0,90591.03914909108,"[1144, 2236]",1.793746110954089
7,156,1.0,2.0,90591.03914909108,"[1144, 2236]",1.793746110954089
7,156,2.0,0.0,90593.03914909108,"[1144, 2236]",1.793746110954089
7,156,2.0,0.5,90593.03914909108,"[1144, 2236]",1.793746110954089
7,156,2.0,1.0,90593.03914909108,"[1144, 2236]",1.793746110954089
7,156,2.0,2.0,90593.03914909108,"[1144, 2236]",1.793746110954089
7,156,4.0,0.0,90597.03914909108,"[1144, 2236]",1.793746110954089
7,156,4.0,0.5,90597.03914909108,"[1144, 2236]",1.793746110954089
7,156,4.0,1.0,90597.03914909108,"[1144, 2236]",1.793746110954089
7,156,4.0,2.0,90597.03914909108,"[1144, 2236]",1.793746110954089
17,26,0.5,0.0,90572.39085502323,"[2132, 2158]",1.3173839483497432
17,26,0.5,0.5,90572.89085502323,"[2132, 2158]",0.8173839483497432
17,26,0.5,1.0,90573.39085502323,"[2132, 2158]",0.31738394834974315
17,26,0.5,2.0,90573.70823897158,"[2392, 2418]",0.6826160516502568
17,26,1.0,0.0,90573.39085502323,"[2132, 2158]",1.3173839483497432
17,26,1.0,0.5,90573.89085502323,"[2132, 2158]",0.8173839483497432
17,26,1.0,1.0,90574.39085502323,"[2132, 2158]",0.31738394834974315
17,26,1.0,2.0,90574.70823897158,"[2392, 2418]",0.6826160516502568
17,26,2.0,0.0,90575.39085502323,"[2132, 2158]",1.3173839483497432
17,26,2.0,0.5,90575.89085502323,"[2132, 2158]",0.8173839483497432
17,26,2.0,1.0,90576.39085502323,"[2132, 2158]",0.31738394834974315
17,26,2.0,2.0,90576.70823897158,"[2392, 2418]",0.6826160516502568
